Name,Team,playerid,mlbid
Anthony Garcia,Athletics (AAA),sa502038,571685
Anthony Jimenez,Mariners (A+),sa826672,650854
Anthony Miller,Indians (A+),sa875767,664970
Anthony Pereira,- - -,sa826663,645300
Anthony Peroni,Nationals (R),sa3004612,663703
Anthony Phillips,- - -,sa392886,521811
Anthony Seigler,- - -,sa3006894,678011
Anthony Shew,Cardinals (AA),sa921212,670651
Anthony Valenzuela,Yankees (R),sa3006581,679515
Anthony Villa,White Sox (A),sa918406,670112
Antoni Flores,- - -,sa3005489,677602
Antonio Arias,Yankees (R),sa873482,660626
Antonio Cabello,- - -,sa3005600,679737
Antonio Dominguez,Tigers (R),sa3005926,678830
Antonio Lamas,- - -,sa502224,538079
Antonio Nunez,Astros (AAA),sa829188,657701
Antonio Pinero,Brewers (R),sa917079,665836
Anyelo George,Rangers (R),sa3006605,678735
Anyesber Sivira,Giants (R),sa3003301,672716
Aramis Ademan,Cubs (A+),sa917352,666620
Aramis Garcia,- - -,sa599195,605244
Arbert Cipion,Brewers (R),sa3008006,681832
Arden Pabst,- - -,sa858812,641938
Argenis Angulo,Indians (AA),sa829470,656196
Ariel Montesino,- - -,sa745012,642734
Ariel Sandoval,Mariners (A),sa736970,628366
Aristides Aquino,Reds (AA),sa597058,606157
Armando Araiza,- - -,sa547843,593755
Armond Upshaw,Nationals (A),sa918220,657066
Arquimedes Gamboa,Phillies (A+),sa877497,660614
Arturo De Freitas,Phillies (R),sa3005939,679972
Arturo Guerrero,Mariners (R),sa3005936,679552
Arturo Michelena,Astros (AA),sa657523,622692
Arvicent Perez,Tigers (AA),sa655950,621705
Asdrubal Alvarez,Yankees (R),sa3003294,672700
Asmin Bautista,Braves (R),sa3005714,677566
Aubrey McCarty,Rockies (A-),sa738687,641839
Augusto Acevedo,Cubs (R),sa3008191,682783
Austen Wade,- - -,sa3004930,667398
Austen Williams,Nationals (AA),sa829032,657117
Austin Allen,Padres (AA),sa875025,664119
Austin Athmann,Tigers (A+),sa918297,662098
Austin Beck,Athletics (A),sa3004055,675648
Austin Bernard,Rockies (A),sa3004510,676640
Austin Bossart,Phillies (AA),sa875667,664866
Austin Bush,Braves (A),sa3002832,656276
Austin Coley,- - -,sa738368,643261
Austin Davidson,- - -,sa599216,607207
Austin Dennis,Astros (A-),sa3007650,681967
Austin Edgette,Giants (R),sa3007328,682147
Austin Filiere,Cubs (A),sa915780,676277
Austin Hale,Twins (R),sa3007647,681247
Austin House,Rockies (AAA),sa502193,572934
Austin Listi,- - -,sa3004170,676730
Austin McGeorge,Mets (AA),sa918047,670041
Austin Nola,Marlins (AAA),sa577789,543592
Austin O'Banion,- - -,sa919007,670279
Austin Piscotty,- - -,sa3007092,682242
Austin Rei,Red Sox (AA),sa659079,623300
Austin Riley,- - -,sa874756,663586
Austin Sexton,Cardinals (AA),sa857572,642063
Austin Upshaw,- - -,sa3004498,657067
Austin Warner,- - -,sa3004494,677369
Auston Bousfield,- - -,sa827356,595890
Avery Tuck,- - -,sa3006864,666169
Axel Aleixo,Reds (R),sa3003232,672533
Axel Andueza,- - -,sa3002712,672847
B.J. Lopez,- - -,sa694185,625439
Beau Amaral,Mariners (AA),sa503642,572679
Beau Branton,- - -,sa3007327,682092
Beau Brundage,Rays (R),sa3008246,663555
Beau Taylor,Athletics (AAA),sa577780,607333
Beder Gutierrez,Rangers (R),sa883721,664583
Beicker Mendoza,Giants (R),sa872804,660679
Ben Aklinski,- - -,sa3006906,679701
Ben Bengtson,Pirates (A),sa3004291,676843
Ben Breazeale,Orioles (A),sa3002753,641393
Ben DeLuzio,- - -,sa737626,641512
Ben Holmes,Marlins (AA),sa549147,592411
Ben Pelletier,Phillies (A-),sa876134,647311
Ben Rodriguez,- - -,sa3004301,677025
Ben Rortvedt,- - -,sa917942,666163
Ben Ruta,- - -,sa918694,670352
Bengie Gonzalez,Nationals (AAA),sa454764,543232
Benito Santiago,Cardinals (R),sa829818,656931
Bernabe Camargo,- - -,sa3006881,676909
Bernnie Alaniz,Rockies (R),sa3003400,673372
Bijan Rademacher,Cubs (AAA),sa658233,623148
Billy Cooke,- - -,sa3003963,676623
Billy Fleming,- - -,sa836204,659003
Billy Wilson,Indians (R),sa3006851,657128
BJ Boyd,Athletics (AAA),sa657987,622196
Bladimir Restituyo,- - -,sa3006621,678837
Bladimir Susana,Pirates (R),sa3007334,682434
Blaine Prescott,Rangers (A+),sa829215,656863
Blaise Salter,- - -,sa602523,607077
Blake Allemand,Brewers (AA),sa857217,664857
Blake Chisolm,Nationals (R),sa3006870,669637
Blake Drake,Cardinals (AA),sa829329,656383
Blake Hunt,Padres (A-),sa3004153,675448
Blake Perkins,- - -,sa874806,663368
Blake Rutherford,White Sox (A+),sa917932,666164
Blake Taylor,Mets (AAA),sa737558,642130
Blake Tiberi,- - -,sa874235,669723
Blake Trahan,Reds (AAA),sa874990,664167
Blaze Alexander,- - -,sa3007742,677942
Bligh Madris,Pirates (A+),sa3004165,676632
Blinger Perez,Padres (R),sa918098,668591
Bo Bichette,Blue Jays (AA),sa917949,666182
Bo Naylor,Indians (R),sa3008247,666310
Bo Takahashi,Diamondbacks (AA),sa830370,649963
Bo Way,- - -,sa829126,657444
Bobby Bradley,- - -,sa828799,656252
Bobby Dalbec,- - -,sa857701,666915
Bobby Honeyman,- - -,sa3006645,656551
Bobby Wernes,Rockies (AA),sa876020,665069
Boo Vazquez,Marlins (A+),sa602531,607100
Borinquen Mendez,Yankees (R),sa919019,667826
Brad Kuntz,Brewers (AA),sa877529,665290
Brad Markey,Cubs (AAA),sa659004,623490
Brad Wieck,- - -,sa659424,623364
Brad Zunica,Padres (A+),sa875647,650531
Braden Bishop,Mariners (AA),sa659045,623323
Braden Frankfort,- - -,sa3007329,682150
Bradley Jones,Blue Jays (A+),sa918500,641735
Brady Cox,Royals (R),sa3004152,674311
Brady Dragmire,- - -,sa598911,607170
Brady Policelli,Tigers (A),sa918279,670149
Brady Whalen,Cardinals (A-),sa918278,669714
Brahiap Carrillo,Twins (R),sa3005473,672599
Braian Fernandez,Nationals (R),sa3005751,678658
Braian Quezada,Braves (R),sa3006435,678857
Brailin Pena,Cubs (R),sa3005765,678792
Bralin Jackson,Pirates (AA),sa658012,621437
Brallan Perez,Athletics (A+),sa736999,642362
Bramdon Perez,Red Sox (R),sa3008475,682164
Branden Becker,Orioles (A),sa875755,663844
Branden Boggetto,- - -,sa918584,670444
Brandol Mezquita,Braves (R),sa3006201,678841
Brandon Barker,Marlins (AA),sa829237,656210
Brandon Bednar,- - -,sa737887,641351
Brandon Benavente,Indians (R),sa872755,658529
Brandon Benson,- - -,sa3002879,676773
Brandon Bonilla,Orioles (A-),sa602380,607469
Brandon Brosher,Mets (A+),sa738646,641404
Brandon Chapman,Braves (R),sa3007098,682490
Brandon Downes,- - -,sa602678,605213
Brandon Grudzielanek,Blue Jays (A),sa3005058,677826
Brandon Howlett,Red Sox (R),sa3007745,680914
Brandon Hughes,Cubs (A),sa915618,676714
Brandon Leibrandt,Phillies (AAA),sa602915,605335
Brandon Leyton,Diamondbacks (R),sa917309,667351
Brandon Linares,Rangers (R),sa3006182,678376
Brandon Lockridge,- - -,sa3006856,663604
Brandon Lopez,Twins (A+),sa658974,620995
Brandon Marsh,- - -,sa917944,669016
Brandon Montgomery,- - -,sa918622,670417
Brandon Polizzi,- - -,sa3002885,676998
Brandon Purcell,Cardinals (R),sa3007084,682145
Brandon Riley,Cardinals (R),sa3007972,663350
Brandon Rincones,Red Sox (R),sa3005923,678799
Brandon Sandoval,- - -,sa3002728,676825
Brandon Valenzuela,Padres (R),sa3005729,678218
Brandon Van Horn,Giants (A+),sa918436,670115
Brandon Waddell,- - -,sa875075,663399
Brandon Wagner,- - -,sa738979,643590
Brandt Stallings,- - -,sa3007283,663857
Branfiel Concepcion,Rockies (R),sa3005622,681614
Brantley Bell,Reds (A+),sa875352,664009
Braulio Vasquez,Braves (R),sa924858,670877
Braxton Davidson,Braves (A+),sa828679,656352
Brayan Gonzalez,Phillies (A-),sa3004384,672759
Brayan Hernandez,Marlins (A-),sa876536,659910
Brayan Jimenez,Yankees (R),sa916978,665635
Brayan Mancilla,Cubs (R),sa3005946,681628
Brayan Morales,Dodgers (A),sa918374,657243
Brayan Rocchio,- - -,sa3005898,677587
Brayan Rodriguez,Dodgers (R),sa3006188,678589
Brayant Nova,White Sox (R),sa916991,665486
Breiner Licona,Red Sox (R),sa3008363,681455
Bren Spillane,Reds (R),sa876159,665023
Brendan Donovan,Cardinals (A-),sa3006675,680977
Brendan McKay,- - -,sa829698,656713
Brendan Rodgers,- - -,sa874238,663898
Brendan Venter,- - -,sa3007645,681016
Brendon Davis,Rangers (A+),sa875089,663478
Brendon Sanger,- - -,sa858055,664858
Brendt Citta,Pirates (R),sa3007633,663923
Brennan Bernardino,Reds (AA),sa829409,657514
Brennen Davis,Cubs (R),sa3007876,680695
Brennon Kaleiwahea,- - -,sa3007917,682596
Brennon Lund,Angels (AA),sa857730,641807
Brent Diaz,Brewers (A),sa3004297,676919
Brent Rooker,Twins (AA),sa3003172,667670
Bret Boswell,- - -,sa918769,641385
Bret Helton,Pirates (AA),sa875307,663428
Brett Austin,White Sox (AAA),sa597795,595878
Brett Bond,Angels (R),sa3007508,674666
Brett Cumberland,- - -,sa915611,656340
Brett Kinneman,Pirates (A-),sa3006668,680575
Brett Langhorne,Braves (R),sa3007064,681827
Brett McKinney,Pirates (AAA),sa738242,643441
Brett Netzer,Red Sox (A+),sa3004804,676071
Brett Pope,- - -,sa3004513,676788
Brett Siddall,- - -,sa875635,615702
Brett Stephens,- - -,sa858834,667650
Brett Sullivan,Rays (AA),sa857232,664954
Brett Vertigan,- - -,sa658149,622211
Brett Wright,- - -,sa3007746,681155
Brewer Hicklen,- - -,sa3004159,676551
Brhayan Campos,Marlins (R),sa3003424,675526
Brhet Bewley,- - -,sa3007289,674029
Brian Miller,- - -,sa915826,675649
Brian Mims,Phillies (A+),sa3004145,670765
Brian Moran,- - -,sa501495,572383
Brian Mundell,Rockies (AA),sa875185,621521
Brian Navarreto,Twins (AA),sa737817,640459
Brian O'Grady,- - -,sa829143,657434
