Name,Team,playerid
Scott Feldman,Reds,6283
Aaron Sanchez,Blue Jays,11490
Homer Bailey,Reds,8362
Carlos Rodon,White Sox,16137
Blake Wood,- - -,1345
Odrisamer Despaigne,Marlins,16017
Brandon Maurer,- - -,4878
Paul Fry,Orioles,15832
Cam Bedrosian,Angels,13360
Bud Norris,Angels,9492
Chase Whitley,Rays,10982
John Brebbia,Cardinals,12777
Daniel Poncedeleon,Cardinals,16110
Robert Stock,Padres,6576
Jacob Barnes,Brewers,12323
Matt Belisle,Twins,1837
Robert Gsellman,Mets,13696
Matt Bush,Rangers,1246
Michael Soroka,Braves,18383
Lou Trivino,Athletics,15043
Shane Greene,Tigers,10756
Kyle Barraclough,Marlins,13713
Andrew Triggs,Athletics,13533
Chris Stratton,Giants,13761
Drew Steckenrider,Marlins,18806
Matt Shoemaker,Angels,4776
Michael Lorenzen,Reds,14843
Tanner Scott,Orioles,17586
Bartolo Colon,- - -,375
Paul Sewald,Mets,13892
Anthony DeSclafani,Reds,13050
Drew VerHagen,Tigers,13424
Edgar Santana,Pirates,17355
Zach Britton,Orioles,3240
Ryan Buchter,Athletics,9456
Koda Glover,Nationals,17695
David Phelps,- - -,6316
Phil Maton,Padres,18064
Paul Blackburn,Athletics,14739
Shane Carle,Braves,15258
Austin Pruitt,Rays,15290
Gregory Infante,White Sox,9119
Daniel Mengden,Athletics,16980
Jordan Lyles,- - -,7593
Eddie Butler,Cubs,13453
Ryan Merritt,Indians,13688
Matt Grace,Nationals,11449
Brandon Woodruff,Brewers,16162
Chris Bassitt,Athletics,12304
Tony Cingrani,Dodgers,12555
Aaron Loup,Blue Jays,10343
Chris Martin,Rangers,11847
Koji Uehara,Cubs,9227
Heath Hembree,Red Sox,11632
James Hoyt,Astros,14605
Xavier Cedeno,- - -,36
Yoshihisa Hirano,Diamondbacks,19756
Oliver Drake,- - -,8823
Tyler Olson,Indians,14741
Jake Diekman,- - -,5003
Tyler Clippard,Blue Jays,5640
Trevor May,Twins,6398
Andrew Albers,Mariners,7853
James Pazos,Mariners,13323
Matt Andriese,Rays,12022
Hector Velazquez,Red Sox,19341
Cody Reed,Reds,15232
Anthony Banda,Diamondbacks,14706
Tony Barnette,Rangers,3555
Sam Dyson,Giants,11710
Brad Ziegler,Marlins,7293
Jordan Hicks,Cardinals,19618
John Lackey,Cubs,1507
Justin Anderson,Angels,16201
Heath Fillmyer,Royals,17466
